sample_index,time_s,wall_time,cmd_q_shoulder_pan_joint,cmd_q_shoulder_lift_joint,cmd_q_elbow_joint,cmd_q_wrist_1_joint,cmd_q_wrist_2_joint,cmd_q_wrist_3_joint,cmd_dq_fd_shoulder_pan_joint,cmd_dq_fd_shoulder_lift_joint,cmd_dq_fd_elbow_joint,cmd_dq_fd_wrist_1_joint,cmd_dq_fd_wrist_2_joint,cmd_dq_fd_wrist_3_joint,cmd_ddq_fd_shoulder_pan_joint,cmd_ddq_fd_shoulder_lift_joint,cmd_ddq_fd_elbow_joint,cmd_ddq_fd_wrist_1_joint,cmd_ddq_fd_wrist_2_joint,cmd_ddq_fd_wrist_3_joint,cmd_jerk_fd_shoulder_pan_joint,cmd_jerk_fd_shoulder_lift_joint,cmd_jerk_fd_elbow_joint,cmd_jerk_fd_wrist_1_joint,cmd_jerk_fd_wrist_2_joint,cmd_jerk_fd_wrist_3_joint
488,31.49949026107788,1782105393.300786,-1.0972682237625122,-1.2135896682739258,1.3477870225906372,-1.6127785444259644,-1.624333143234253,0.9505723118782043,-8.329588397693044e-05,-0.00014709140796576037,0.0003176497107464371,-0.000697789117428016,0.000528935116781426,0.0037448488539162383,4.149265082478709e-05,9.092891119917167e-05,-0.00018822935643511324,0.00040035160226857157,-0.00018759007192229056,-0.001553035732876594,0.02000233842903909,0.023092480518823337,-0.04692564731546595,0.0968352412476842,-0.1273947967787229,-0.7971657404976121
489,31.555582761764526,1782105393.3568785,-1.0972319841384888,-1.2135510444641113,1.34770929813385,-1.6126207113265991,-1.6245615482330322,0.9491662979125977,-9.244128763796766e-06,-5.9562881732588835e-05,0.0001383172799886978,-0.00032584017076331406,6.163105764578347e-05,0.0007960901580492674,0.0013146295502984716,0.001513307640602559,-0.003070951764030578,0.006349806170748646,-0.008364648625080542,-0.052329069487416585,-0.0017950122315142504,-0.0028042682509903773,0.005992500360824825,-0.012667926236527776,0.010141034750571199,0.07075310115809393
490,31.609960317611694,1782105393.411256,-1.0972670316696167,-1.2135937213897705,1.347797155380249,-1.6128039360046387,-1.624340295791626,0.9505729079246521,6.195003654063669e-05,2.024293277003153e-05,-2.20245101978378e-05,4.6240239086614565e-06,-0.0003949942885164148,-0.002036758694334395,-7.408138854865615e-05,-0.00012374278609726685,0.0002799477692061933,-0.0005980592689458684,0.0004060802913002055,0.002966756586484081,-0.019618138313300934,-0.02266478168617725,0.045965764861435277,-0.09530864977094725,0.12454501371915429,0.780274299258481
491,31.66035771369934,1782105393.4616535,-1.0972309112548828,-1.213555097579956,1.3477195501327515,-1.6126461029052734,-1.6245687007904053,0.9491668939590454,-6.3971957597885876e-06,-6.0323845653798e-05,0.00014288850431398714,-0.0003373091625036295,3.666494831122691e-05,0.0006846566962508405,-0.0007862617071080019,-0.0009184547364994854,0.001865183041358574,-0.0038851052318662747,0.004966370600688508,0.031238713149796468,0.000689693814165073,0.0011129909032921625,-0.0026869861778192135,0.005567935188461848,-0.002987091973324276,-0.023542470797468733
492,31.709558486938477,1782105393.5108542,-1.0972659587860107,-1.2135977745056152,1.3478074073791504,-1.612829327583313,-1.624347448348999,0.9505735039710999,-1.7707918670950562e-05,-7.284197825896399e-05,0.00016707179145036832,-0.000389182495943885,0.00010815755040205488,0.0011283845341178989,-4.0438309327480244e-05,-5.2813810136571404e-05,9.3068278343259e-05,-0.00021091078644310804,0.00032962116756684256,0.002004269037798873,0.004290345828782069,0.005053689184895018,-0.010417457816534166,0.022254026889687365,-0.0262869738833765,-0.16783284104778126
493,31.760770320892334,1782105393.562066,-1.0972298383712769,-1.2135591506958008,1.3477296829223633,-1.6126714944839478,-1.6245758533477783,0.9491674900054932,-9.680144533064095e-06,-6.479952180349358e-05,0.00015059834808361927,-0.0003550256430422394,6.515203635970579e-05,0.0008571210189920464,-0.00040006443257861084,-0.00046247032200619025,0.0009242119371259247,-0.0018656835299062108,0.0026057338837839486,0.01613607374008292,-0.007551549865904143,-0.008380473818505374,0.017331571970969864,-0.03527197139411793,0.04628017002259437,0.2897331316551892
494,31.810442447662354,1782105393.6117382,-1.0972647666931152,-1.21360182762146,1.3478175401687622,-1.6128547191619873,-1.624354600906372,0.9505741000175476,-5.637909796085694e-05,-0.00011761875655835752,0.00025653103198308713,-0.0005697181861403777,0.0003605837086571029,0.0026912467580331167,-0.0008006633645226511,-0.0008971129179533904,0.0018382032562499532,-0.003760309953321247,0.004992981890414118,0.0311918830125284,0.0024151239375899305,0.002650575904577815,-0.005042507887802581,0.010105758413922743,-0.016147055219734727,-0.09784996355542402
495,31.865319967269897,1782105393.6666157,-1.0972286462783813,-1.213563323020935,1.3477399349212646,-1.612696886062622,-1.6245830059051514,0.9491680860519409,-9.186102623282011e-05,-0.00015677093573529532,0.00033955593336187917,-0.0007420085627032336,0.0005767070774034266,0.0040554115630691,-3.274234699689486e-05,-6.04430553815202e-05,0.00014017138678516913,-0.000280506772158998,0.00021409293678895276,0.0015129311668589038,0.012218398232747004,0.013702681984583194,-0.028088406938146866,0.05765289725900047,-0.07580651781526287,-0.47440046098567856
496,31.91270899772644,1782105393.7140048,-1.0972636938095093,-1.2136058807373047,1.3478277921676636,-1.6128801107406616,-1.6243617534637451,0.9505746960639954,-6.829352029846802e-05,-0.00013291279697291714,0.0002900226366335801,-0.0006383028289160819,0.0004344497876385134,0.003171757006024123,0.0004736398938927898,0.0005257521020868704,-0.0010741263943598342,0.0022159989661936375,-0.002916851169613956,-0.018250330926073234,0.005727230036622303,0.006830663883360736,-0.01414182046739738,0.028644090861169712,-0.03605041658062734,-0.2274098229975966
497,31.965757131576538,1782105393.767053,-1.0972274541854858,-1.2135674953460693,1.3477503061294556,-1.6127222776412964,-1.6245901584625244,0.9491686820983887,-4.457399601953682e-05,-0.00010369842718738198,0.00023132735845976526,-0.0005191087818587903,0.00028476693367451844,0.002227155527904756,0.0004830131695262776,0.0005591724363695233,-0.0011424753132137622,0.002308124595608747,-0.003046666060684708,-0.019053005538886898,0.0011644101149746672,0.0014379645516903088,-0.003088044836748391,0.006224709222838815,-0.00798690858969028,-0.05020375171516067
498,32.01470398902893,1782105393.8159997,-1.0972625017166138,-1.2136099338531494,1.347838044166565,-1.612905502319336,-1.6243689060211182,0.9505752921104431,-1.9311535377042333e-05,-7.594670502086842e-05,0.00017377992830880373,-0.0004033684367819035,0.00012547952882613345,0.0012382751755524168,0.0005846152825673037,0.0006660461024971472,-0.001374900702240862,0.0028154975961612564,-0.003687791947580131,-0.02309429738396473,-0.0035402016057950727,-0.003815409705304456,0.007815225172802078,-0.015253923727080006,0.021663756494169302,0.1337750728265323
