sample_index,time_s,wall_time,ros_time,q_shoulder_pan_joint,q_shoulder_lift_joint,q_elbow_joint,q_wrist_1_joint,q_wrist_2_joint,q_wrist_3_joint,dq_msg_shoulder_pan_joint,dq_msg_shoulder_lift_joint,dq_msg_elbow_joint,dq_msg_wrist_1_joint,dq_msg_wrist_2_joint,dq_msg_wrist_3_joint,dq_fd_shoulder_pan_joint,dq_fd_shoulder_lift_joint,dq_fd_elbow_joint,dq_fd_wrist_1_joint,dq_fd_wrist_2_joint,dq_fd_wrist_3_joint,ddq_fd_shoulder_pan_joint,ddq_fd_shoulder_lift_joint,ddq_fd_elbow_joint,ddq_fd_wrist_1_joint,ddq_fd_wrist_2_joint,ddq_fd_wrist_3_joint,jerk_fd_shoulder_pan_joint,jerk_fd_shoulder_lift_joint,jerk_fd_elbow_joint,jerk_fd_wrist_1_joint,jerk_fd_wrist_2_joint,jerk_fd_wrist_3_joint
3027,30.27,1782105386.8773694,31.5,-1.0973396421710424,-1.2133245397530226,1.3471619073498333,-1.6112025919702722,-1.6238897423939327,0.9505353399863132,-1.2251528744829084e-05,0.007994039298244635,0.01789966816677703,-0.02431304729138215,-0.007210274706817149,0.0005790341779598183,6.938449814697378e-10,6.96246615916607e-10,-1.8705748061620397e-10,2.8275337626837427e-10,-2.612708271954034e-09,9.37333766160009e-10,0.09059936737968148,0.09626153310938351,-0.19371716983439838,0.3936998907995199,-0.5710160765381107,-3.51503355866159,4.529972084552636,4.813082533840912,-9.68586005594099,19.684996494139583,-28.550815978739973,-175.75167389390512
3028,30.28,1782105386.8873894,31.51,-1.0973396421669204,-1.2133245397491252,1.347161907348779,-1.6112025919686281,-1.6238897424096277,0.950535339991962,-1.2247408075586997e-05,0.007994043196828502,0.01789966711329752,-0.02431304564592274,-0.007210290401815363,0.000579039826599003,0.0018119890068888367,0.001925232681813327,-0.0038743439219075526,0.007873998545363747,-0.011420327501369343,-0.0703006690655954,0.09059926867355544,0.09626129319851966,-0.19371711787024207,0.39369983046939794,-0.5710158157176661,-3.5150336369247612,-9.059950403910246,-9.626176683249653,19.37172249800311,-39.36999603503983,57.101651533180984,351.50334113226836
3029,30.29,1782105386.8973596,31.52,-1.0973034023909047,-1.2132860350993864,1.3470844204713952,-1.611045111999365,-1.62411814894396,0.9491293266050018,-1.2095421803983033e-05,0.007994092408947023,0.017898827937911442,-0.024308547881056422,-0.007211825956090191,0.0005796184728734272,0.0018119860673166954,0.0019252265602176521,-0.003874342544463616,0.007873996892143964,-0.01142031892706541,-0.07030067180118493,-0.09059964069845522,-0.09626200055553706,0.19371728012551795,-0.3937000299009803,0.5710169541250789,3.5150332639811297,-9.059932403943481,-9.626135717848838,19.37171345172655,-39.36998541618832,57.10160176907196,351.503356516038
3030,30.3,1782105386.907373,31.53,-1.097303402445574,-1.2132860352179209,1.3470844204978896,-1.6110451120307852,-1.624118148788169,0.9491293265559388,-1.2150085258351842e-05,0.00799397387484775,0.017898854431168586,-0.024308579299705386,-0.0072116701671366586,0.0005795694101157356,-3.807080872775259e-09,-7.329298057356937e-09,1.6806041003292194e-09,-2.052658487627923e-09,1.1581136050153873e-08,-3.785949331813754e-09,-0.09059937940524593,-0.0962614211583846,0.19371715116414304,-0.3936998778540719,0.571016219663343,3.5150334933933522,4.5299899626806965,4.8131167530664865,-9.68586777990096,19.685005979895596,-28.55087067455863,-175.7516558828773
3031,30.31,1782105386.9173155,31.54,-1.0973034024670465,-1.2132860352459722,1.3470844205050074,-1.6110451120404183,-1.6241181487123373,0.9491293265292828,-1.2171554908463258e-05,0.007993945823640025,0.017898861550467278,-0.024308588933812603,-0.007211594333291348,0.0005795427538809229,-1.5207888282020576e-09,-1.862950682607334e-09,4.788205387740163e-10,-6.64940102979017e-10,5.466205266202451e-09,-1.9332944134475838e-09,1.5855512458531947e-07,3.345057564275437e-07,-7.547242830698382e-08,8.96967833341671e-08,-4.5936587866896867e-07,1.463249077460374e-07,0.1490101173651288,-0.506645473805655,1.2815128286547957,-3.1740245623980385,-0.8940706896965267,0.07450028913780216
3032,30.32,1782105386.927232,31.55,-1.0973034024759896,-1.21328603525518,1.347084420507466,-1.6110451120440838,-1.624118148678845,0.9491293265172729,-1.2180495622442543e-05,0.007993936616279567,0.017898864007062476,-0.024308592601368917,-0.007211560840574506,0.0005795307440271371,-6.359783810694353e-10,-6.391829288077133e-10,1.7115553418989293e-10,-2.587228209449677e-10,2.3938184767757775e-09,-8.594511768933444e-10,-0.08761917705800673,-0.10639433063456948,0.21934740773738515,-0.4571803691023336,0.5531348058698122,3.5165234991786063,-4.38096106357496,-5.319720050547487,10.967371156312323,-22.85901941110877,27.656747776846416,175.8261722687035
3033,30.33,1782105386.937413,31.56,-1.097303402479766,-1.2132860352587558,1.3470844205084305,-1.6110451120455929,-1.624118148664461,0.9491293265120939,-1.2184272293450375e-05,0.007993933042472546,0.01789886497186137,-0.024308594108746296,-0.007211546457368107,0.0005795255655743987,-0.0017523850619483028,-0.002127888475641271,0.00438694863356659,-0.009143608046983331,0.011062701583597345,0.07033046805025123,-0.08761906271640388,-0.10639406650522885,0.2193473476538914,-0.45718029852554476,0.5531344961712343,3.5165235917001523,8.76193189334666,10.639457335344558,-21.934746600856638,45.71804425033771,-55.31352597700115,-351.6523347892936
3034,30.34,1782105386.9474208,31.57,-1.0973384501772285,-1.2133285930246929,1.3471721594801371,-1.6112279842050234,-1.623896894647173,0.9505359358782783,-1.2350600199711748e-05,0.00799388347528327,0.01789979956977472,-0.02431370336859343,-0.0072099705740655716,0.00057887969425247,-0.0017523818903057986,-0.0021278819692867046,0.00438694712423171,-0.009143606229230272,0.011062692317238998,0.07033047097452538,0.087619460808985,0.10639481607239275,-0.21934752427989412,0.4571805159047261,-0.5531357136705801,-3.516523196609614,8.761912009483215,10.639413297540044,-21.93473650642468,45.71803232277655,-55.31347052773819,-351.6523517522579
3035,30.349999999999998,1782105386.9574208,31.58,-1.0973384501175723,-1.2133285928981417,1.3471721594509152,-1.6112279841701775,-1.6238968948181163,0.950535935931585,-1.2290952758286436e-05,0.007994010025571298,0.01789977034730362,-0.0243136685230153,-0.007210141518803835,0.0005789330018424541,4.154230737185571e-09,7.845805782835669e-09,-1.8520296407587011e-09,2.2711077463100082e-09,-1.2689810091615072e-08,4.118085428217455e-09,0.08761917747331896,0.10639419944564309,-0.21934738247474872,0.4571803479302917,-0.5531349143838988,-3.5165234433473556,-4.380981691394412,-5.3197586772848515,10.967380376421444,-22.859030765865903,27.656810876629592,175.82615187843624
3036,30.36,1782105386.9674807,31.59,-1.0973384500941439,-1.2133285928677766,1.3471721594430965,-1.6112279841596011,-1.6238968949009691,0.95053593596064,-1.2267527480431526e-05,0.007994040388609893,0.01789976252997281,-0.02431365794388429,-0.007210224370075283,0.0005789620560562614,1.6591599205639795e-09,2.019625355842436e-09,-5.252616119832965e-10,7.293721182577428e-10,-5.970434813207248e-09,2.1076047573842516e-09,-1.7301893251439674e-07,-3.574733398181148e-07,8.324860800711183e-08,-9.941274470291584e-08,5.038621964103308e-07,-1.5903971473105473e-07,0.13410834588614762,-0.5066334282944895,1.2666095748417607,-3.1740226165062673,-0.8940580726248584,0.07449422543717787
